"","Gene","Quiescence_avg_log2FC","Quiescence_Up_percent","Quiescence_Down_percent","Quiescence_wilcox","Quiescence_wilcox.adj","Type","Rank"
"HIST2H2AC","HIST2H2AC",-0.0978267186310758,0.3,0.7,0.164957046508789,0.473139271078972,"None",957
"RARS","RARS",-0.097874125840694,0.3,0.7,0.245487213134766,0.56020048347925,"None",956
"PSMD13","PSMD13",-0.0979776628978125,0.35,0.65,0.176853179931641,0.489458057730314,"None",955
"CDC6","CDC6",-0.098046386305722,0.3,0.7,0.0239505767822266,0.191733303924105,"None",954
"AK4","AK4",-0.0982813133414898,0.15,0.85,0.132726669311523,0.429161299444952,"None",953
"NOTCH2NL","NOTCH2NL",-0.0982986220455817,0.25,0.75,0.0295753479003906,0.209717525117048,"None",952
"SRPK1","SRPK1",-0.0983030547843564,0.35,0.65,0.189348220825195,0.502368479035426,"None",951
"WDFY1","WDFY1",-0.0983231029910088,0.2,0.8,0.0531692504882812,0.282915269760858,"None",950
"ICT1","ICT1",-0.0984156822532241,0.2,0.8,0.0362339019775391,0.23397452354078,"None",949
"RRP36","RRP36",-0.0984897056603149,0.35,0.65,0.017181396484375,0.16646339989811,"None",948
"NUP155","NUP155",-0.098653539822117,0.25,0.75,0.0136165618896484,0.150896263122559,"None",947
"NT5DC1","NT5DC1",-0.0987223419956793,0.3,0.7,0.176853179931641,0.489458057730314,"None",946
"NONO","NONO",-0.0987337463423102,0.3,0.7,0.570596694946289,0.803352696612221,"None",945
"C12orf45","C12orf45",-0.0988161390666116,0.15,0.85,0.021484375,0.183961675846105,"None",944
"MBD3","MBD3",-0.0988868077347175,0.3,0.7,0.000850677490234375,0.0478197976405029,"Down",943
"IFIH1","IFIH1",-0.0989470749559325,0.45,0.55,0.082550048828125,0.344618183292755,"None",942
"HEATR1","HEATR1",-0.0989649666991758,0.15,0.85,0.0136165618896484,0.150896263122559,"None",941
"WDR75","WDR75",-0.0989886846836199,0.1,0.9,0.00638961791992188,0.107771555582682,"None",940
"SPEN","SPEN",-0.0990808205337972,0.35,0.65,0.570596694946289,0.803352696612221,"None",939
"HADHA","HADHA",-0.0991488451039171,0.3,0.7,0.277355194091797,0.590607558770352,"None",938
"MANBAL","MANBAL",-0.0992251589303752,0.3,0.7,0.202449798583984,0.517371707492404,"None",937
"FTSJ2","FTSJ2",-0.0993142519293033,0.15,0.85,0.0295753479003906,0.209717525117048,"None",936
"SNHG15","SNHG15",-0.0993885614280348,0.35,0.65,0.164957046508789,0.473139271078972,"None",935
"DHX9","DHX9",-0.0994089923190249,0.25,0.75,0.277355194091797,0.590607558770352,"None",934
"ONECUT3","ONECUT3",-0.0995977196248156,0.35,0.65,0.545875549316406,0.789861361906085,"None",933
"BCL2L12","BCL2L12",-0.0997194041939282,0.15,0.85,0.00485992431640625,0.0954124819307341,"None",932
"MAD2L2","MAD2L2",-0.0999089636386791,0.25,0.75,0.0153121948242188,0.158671731373995,"None",931
